2.6 0.0076 1000 920
2.6 0.0114 400 373
2.6 0.0171 400 375
2.6 0.0256 100 97
2.6 0.0384 100 97
2.6 0.0575 50 48
2.6 0.1000 50 45
3.04 0.0010 25000 23
3.04 0.0015 25000 295
3.04 0.0022 25000 1928
3.04 0.0034 10000 3761
3.04 0.0051 1000 790
3.04 0.0076 1000 933
3.04 0.0114 400 378
3.04 0.0171 400 379
3.04 0.0256 100 95
3.04 0.0384 100 95
3.04 0.0575 50 47
3.04 0.1000 50 48
3.54 0.0010 25000 21
3.54 0.0015 25000 308
3.54 0.0022 25000 1876
3.54 0.0034 10000 3654
3.54 0.0051 1000 784
3.54 0.0076 1000 925
3.54 0.0114 400 369
3.54 0.0171 400 369
3.54 0.0256 100 91
3.54 0.0384 100 92
3.54 0.0575 50 47
3.54 0.1000 50 49
4.1 0.0010 25000 31
4.1 0.0015 25000 287
4.1 0.0022 25000 1811
4.1 0.0034 10000 3682
4.1 0.0051 1000 758
4.1 0.0076 1000 906
4.1 0.0114 400 372
4.1 0.0171 400 374
4.1 0.0256 100 93
4.1 0.0384 100 93
4.1 0.0575 50 45
4.1 0.1000 50 49
4.71 0.0010 25000 28
4.71 0.0015 25000 274
4.71 0.0022 25000 1837
4.71 0.0034 10000 3496
4.71 0.0051 1000 772
4.71 0.0076 1000 934
4.71 0.0114 400 373
4.71 0.0171 400 376
4.71 0.0256 100 93
4.71 0.0384 100 93
4.71 0.0575 50 47
4.71 0.1000 50 46
5.4 0.0010 25000 27
5.4 0.0015 25000 276
5.4 0.0022 25000 1793
5.4 0.0034 10000 3540
5.4 0.0051 1000 758
5.4 0.0076 1000 910
5.4 0.0114 400 369
5.4 0.0171 400 369
5.4 0.0256 100 95
5.4 0.0384 100 95
5.4 0.0575 50 47
5.4 0.1000 50 45
6.15 0.0010 25000 23
6.15 0.0015 25000 286
6.15 0.0022 25000 1745
6.15 0.0034 10000 3573
6.15 0.0051 1000 770
6.15 0.0076 1000 918
6.15 0.0114 400 381
6.15 0.0171 400 382
6.15 0.0256 100 95
6.15 0.0384 100 95
6.15 0.0575 50 49
6.15 0.1000 50 47
6.98 0.0010 25000 27
6.98 0.0015 25000 298
6.98 0.0022 25000 1822
6.98 0.0034 10000 3599
6.98 0.0051 1000 792
6.98 0.0076 1000 942
6.98 0.0114 400 386
6.98 0.0171 400 385
6.98 0.0256 100 93
6.98 0.0384 100 92
6.98 0.0575 50 48
6.98 0.1000 50 47
7.9 0.0010 25000 35
7.9 0.0015 25000 306
7.9 0.0022 25000 1792
7.9 0.0034 10000 3588
7.9 0.0051 1000 771
7.9 0.0076 1000 917
7.9 0.0114 400 372
7.9 0.0171 400 374
7.9 0.0256 100 92
7.9 0.0384 100 92
7.9 0.0575 50 47
7.9 0.1000 50 46
8.9 0.0010 25000 30
8.9 0.0015 25000 258
8.9 0.0022 25000 1774
8.9 0.0034 10000 3543
8.9 0.0051 1000 778
8.9 0.0076 1000 935
8.9 0.0114 400 374
8.9 0.0171 400 375
8.9 0.0256 100 94
8.9 0.0384 100 94
8.9 0.0575 50 50
8.9 0.1000 50 46
10.0 0.0010 25000 24
10.0 0.0015 25000 294
10.0 0.0022 25000 1883
10.0 0.0034 10000 3543
10.0 0.0051 1000 768
10.0 0.0076 1000 911
10.0 0.0114 400 356
10.0 0.0171 400 356
10.0 0.0256 100 92
10.0 0.0384 100 92
10.0 0.0575 50 44
10.0 0.1000 50 47
11.2 0.0010 25000 36
11.2 0.0015 25000 302
11.2 0.0022 25000 1904
11.2 0.0034 10000 3694
11.2 0.0051 1000 796
11.2 0.0076 1000 942
11.2 0.0114 400 378
11.2 0.0171 400 378
11.2 0.0256 100 96
11.2 0.0384 100 96
11.2 0.0575 50 49
11.2 0.1000 50 50
12.5 0.0010 25000 28
12.5 0.0015 25000 282
12.5 0.0022 25000 1955
12.5 0.0034 10000 3673
12.5 0.0051 1000 788
12.5 0.0076 1000 926
12.5 0.0114 400 371
12.5 0.0171 400 373
12.5 0.0256 100 91
12.5 0.0384 100 91
12.5 0.1000 50 47
14.0 0.0010 25000 26
14.0 0.0015 25000 281
14.0 0.0022 25000 1912
